recipe,title_length,recipe_length,ingredients_length,recipe_freq_word,number_of_ingredient,class
"Coupe d'été (compote de nectarines, glace et tuiles)",8,46,21,nectarine,6,Dessert
Chaussons aux cerises,3,55,21,carré,7,Dessert
Poire marbrée,2,36,16,mélanger,7,Dessert
Gâteau aux pommes de grand mère,6,44,25,sucre,8,Dessert
Poulet crémeux aux champignons et riz,6,41,22,ajouter,8,Plat principal
"Cake au potimarron, chocolat, cannelle",5,75,36,couper,10,Dessert
Tilapia sauce Cajun avec son riz au Curry,8,70,29,riz,11,Plat principal
Brochettes des îles,3,69,27,crevette,12,Entrée
Rascasse en papillote aux carottes,5,71,29,carotte,8,Plat principal
Pain d'évêque,2,60,23,blanc,6,Dessert
Carottes râpées à l'orange,4,36,22,carotte,8,Entrée
Boulettes de boeufs aux becs d'oiseaux et petit pois,9,72,37,faire,13,Plat principal
Tarte aux Quetsches briochée (de maman),6,63,47,pâte,12,Dessert
Chèvre frais en feuilleté,4,44,13,pâte,5,Entrée
Paupiettes de chou farcies,4,114,71,chou,14,Plat principal
Minis crumbles au chèvre,4,56,16,pâte,6,Entrée
Chausson de poulet au curry,5,82,60,œuf,18,Plat principal
Roulés de dinde à l'italienne,5,50,15,tranche,6,Entrée
Fondue asiatique maison,3,70,61,bouillon,19,Plat principal
Velouté de langoustines au cognac,5,83,50,langoustine,16,Entrée
Salade blanquite recette tunisienne,4,211,44,2,14,Entrée
Queue de lotte au lard,5,56,29,lardon,9,Plat principal
Steak de requin à la sauce au curry,8,73,30,poêle,11,Plat principal
Macarons aux pétales de maïs,5,51,22,ferme,7,Dessert
Crème vanillée aux abricots,4,115,35,sucre,14,Dessert
Glaçage au chocolat brillant,4,42,19,1,6,Dessert
Tourte au jambon et fromage de chèvre,7,66,27,faire,11,Entrée
Salade de coquillettes au thon,5,31,14,rajouter,8,Entrée
Kebab sur assiette à ma façon,6,66,29,ajouter,11,Plat principal
Crème glacée aux fruits rouges express,6,18,20,mixer,4,Dessert
Tarte aux courgettes au mascarpone,5,40,28,courgette,9,Plat principal
Soufflé léger au thon et aux poireaux,7,56,29,blanc,8,Entrée
Tajine d'agneau aux abricots,4,103,46,mélanger,14,Plat principal
Gâteau aux Marrons de Mémé Claude,6,27,22,mélanger,7,Dessert
Panini chorizo-chèvre,2,53,21,pain,8,Plat principal
Tourte banane et chocolat,4,79,26,banane,7,Dessert
Rutabagas au lard,3,77,38,bâtonnet,12,Plat principal
Gratin dauphinois aux courgettes,4,53,16,couche,6,Plat principal
Thon basquaise,2,51,19,four,8,Plat principal
Quiche aux coeurs et fonds d'artichaut,6,63,33,pâte,8,Plat principal
Madeleines tout chocolat,3,47,21,min,7,Dessert
Spaghetti au coulis de thon et brandade de morue,9,71,39,ajouter,9,Plat principal
"Gâteau à l'ananas (sans lait, sans blé, sans soja, sans gluten)",11,49,31,four,9,Dessert
Spaghettis au piment et aux olives noires,7,93,43,peperoncini,16,Plat principal
Poisson blanc à la menthe et au citron vert,9,54,20,menthe,6,Plat principal
Pâtes au camembert,3,166,28,mettre,10,Plat principal
Rôti de porc aux oignons (recette micro-ondes),7,65,28,rôti,7,Plat principal
Etoile de Pandoro avec Semifreddo au nougat et au miel,10,63,24,mettre,9,Dessert
Trio de Verrines exceptionnelles,4,125,54,verrine,19,Entrée
Gâteau noix de coco et chocolat façon congolais,8,47,27,mélanger,7,Dessert
Préparation des escargots,3,50,24,faire,11,Entrée
Spaghetti aux fruits de mer,5,58,32,moule,11,Plat principal
Tartare de fruits rouges aux épices,6,63,43,ajouter,12,Dessert
Tortilla facile (Espagne),3,73,16,omelette,7,Entrée
Ragoût d'artichauts poireaux et tomates,5,62,34,artichaut,12,Plat principal
Rôti de porc au micro-ondes et sa sauce,8,30,18,rôti,7,Plat principal
Tarte tatin aux tomates et à la tapenade noire,9,85,45,faire,12,Entrée
"Salade de roquette, pomme, pignons et croûtons",7,98,28,faire,9,Entrée
Légumes farcis maison,3,56,27,légume,12,Plat principal
Compote de pomme diététique,4,29,9,pomme,5,Dessert
Ojja aux piments doux et merguez,6,39,24,ajouter,8,Entrée
Paella de Pollo jaune-rouge-verte,4,76,32,morceau,12,Plat principal
"Salade comtoise au chou, saucisse et pomme",7,72,37,chou,10,Entrée
Rôti de veau en portefeuille,5,89,23,rôti,10,Plat principal
Muffin chocolat noir au coeur fondant de chocolat blanc,9,82,22,chocolat,7,Dessert
Délicieux petits gâteaux choco-poire-vanille de Zoé,6,51,26,beurre,9,Dessert
Gâteau poires et mousse chocolat éton’ «Nantes »,8,258,49,douille,16,Dessert
Tournedos Rossini,2,99,35,tournedos,10,Plat principal
Tarte au chocolat à la parisienne,6,175,31,faire,10,Dessert
Farce pour ravioli (merguez-boeuf),4,37,7,merguez,4,Plat principal
Hallah (pain de shabbat),4,52,27,eau,9,Entrée
Papaye au four au lait de coco (Tahiti),8,39,19,moitié,5,Dessert
Polpettes ou croquettes de viande italiennes,6,103,44,saladier,11,Plat principal
Bruschetta (Italie),2,38,20,tomate,6,Entrée
Tarte à la mangue meringuée,5,116,37,eau,9,Dessert
Crêpes de pommes de terre au fromage et aux lardons,10,77,31,petit,9,Entrée
Coupe cocobanananas,2,42,19,eplucher,8,Dessert
Gratin aux lardons et aux légumes,6,70,28,plat,14,Plat principal
Confiture de pommes à l'ancienne,5,79,26,pomme,7,Dessert
Tarte au gaperon,3,44,22,gaperon,6,Entrée
Pommes au four à la noix de coco,8,35,17,pomme,6,Dessert
Mille-feuilles de courgettes,3,84,12,courgette,6,Entrée
Crêpes au camembert et aux pommes de Normandie,8,86,38,bien,13,Entrée
Gâteau royal aux noix,4,62,30,couche,10,Dessert
"Tarte boudins blanc, pomme et foie gras",7,104,51,dé,15,Entrée
Tarte au melon,3,35,23,tarte,7,Dessert
Tarte aux noix Jean d'Apremont,5,62,35,mélange,10,Dessert
Rouelle de Jambon a ma facon,6,91,36,rouelle,12,Plat principal
Panacotta au müesli et fleur d'oranger,6,34,22,agar,8,Dessert
Crêpes d'une mémé bretonne,4,60,26,mélanger,8,Dessert
Magret de canard au miel et quatre épices,8,127,21,magret,5,Plat principal
Salade de lentilles au saumon fumé,6,39,26,lentille,8,Entrée
Soupe à la tomate,4,28,18,hacher,9,Entrée
Saucisson à cuire au beaujolais,5,86,29,oignon,10,Plat principal
Chausson forestier,2,80,23,ajouter,9,Plat principal
Soupe de ma tatie !,5,59,28,minute,9,Entrée
Boulettes de poulet tendres,4,85,19,boulette,8,Plat principal
"Conchiglie au persil, ricotta et tomates",6,59,24,oignon,9,Plat principal
Chaussons de prunes,3,37,9,pâte,5,Dessert
Beignets à la banane de l'île Maurice,7,44,41,sucre,11,Dessert
Verrine fraîcheur au saumon,4,57,40,frais,11,Entrée
Velouté froid de poireaux,4,40,24,ajouter,10,Entrée
Tarte au saumon et aux endives d'Hélène,7,50,30,pâte,9,Plat principal
Croustillant d'agneau à la tapenade,5,59,20,four,7,Plat principal
Pâte à tarte toute simple,5,48,16,pâte,6,Dessert
Tomates farcies à l'agneau confit,5,113,29,four,9,Plat principal
Calamars farcis façon provençale,4,129,55,faites,20,Plat principal
Délice des îles chocolaté,4,40,18,fondre,7,Dessert
Noix de Saint Jacques au gingembre,6,43,27,sauteuse,10,Plat principal
Terrine de saint-jacques et saumon,5,103,38,5,12,Entrée
Lotte au sancerre,3,113,36,oignon,14,Plat principal
Cuisses de lapin roties à la péprade (spécialité du midi),10,82,14,foie,6,Plat principal
Feuillantine de chèvre,3,44,15,préparer,7,Entrée
Salade de coquillettes,3,41,34,couper,10,Plat principal
Gâteau aux carottes,3,63,33,carotte,10,Dessert
Mousse de truite fumée,4,31,21,gélatine,6,Entrée
Soupe de chicons (endives ),5,36,34,couper,9,Entrée
Jacket potato (pomme de terre fourrée au thon),8,41,17,pomme,7,Plat principal
Tarte aux trois poivrons à l'ancienne,6,79,50,tarte,15,Plat principal
Cuisses de poulet moelleuses et goûteuses,6,57,30,jus,11,Plat principal
Epaule d'agneau confite à l'ail et au romarin,8,89,30,viande,7,Plat principal
Gâteau aux pommes et citron de Mamie Odette,8,47,26,four,9,Dessert
Tarte crumble pommes-bananes-raisin,3,94,22,pâte,10,Dessert
Feuilletés roulés au thon,4,68,8,pâte,4,Plat principal
Merlu blanc et chou-fleur,4,53,32,chou-fleur,10,Plat principal
Anneau de riz au poulet et mozzarella,7,162,54,riz,16,Plat principal
Tourte aux 3 légumes et poulet light,7,79,35,pâte,10,Plat principal
Crème d'aubergine et courgette onctueuse,5,59,19,aubergine,7,Entrée
Velouté du soleil,3,92,57,bouillon,16,Entrée
Tarte chèvre + brocoli + tomate,6,48,18,poêle,9,Entrée
Lotte de charlotte à la calaisienne,6,76,42,ajouter,9,Plat principal
Verrines de saumon fumé au mascarpone,6,57,34,petit,8,Entrée
Potage aux poivrons jaunes,4,24,12,couper,5,Entrée
Riz au lait au chocolat crémeux,6,39,23,ajouter,7,Dessert
Timbale milanaise au poulet (pour accomoder les restes),8,53,31,béchamel,9,Plat principal
Quiche rapide aux 3 choux,5,85,36,minute,12,Entrée
Rôti de porc en cocotte à la moutarde,8,63,30,cocotte,8,Plat principal
Poulet au chouchen,3,48,35,carotte,11,Plat principal
Oeufs forestières,2,101,31,10,13,Plat principal
Croque-Monsieur mozzarella avocat,3,34,10,tranche,5,Entrée
Feuilleté de filet mignon au boursin,6,51,18,tranche,6,Plat principal
Paste e pezzle,3,52,16,ajouter,5,Plat principal
Tarte tatin poires - chocolat,5,70,26,min,9,Dessert
Oeufs pochés à la sauce tomate,6,60,7,tomate,4,Plat principal
Foie gras de canard  poêlé à la mayacoise,8,42,33,faire,9,Entrée
Porc au miel et à la betterave,7,55,40,faire,12,Plat principal
Quiche pommes roquefort,3,53,17,pâte,6,Entrée
Cake au chocolat et à la pâte d'amande,8,37,24,pâte,8,Dessert
Tourtes aux nectarines,3,69,17,four,7,Dessert
Boulettes de thon,3,61,27,boulette,6,Entrée
Pilons de poulet en croûte de pain,7,72,23,pilon,9,Plat principal
Fondant café - chocolat,4,47,30,poudre,9,Dessert
Flan Antillais,2,19,13,flan,5,Dessert
Gratin de cougettes au chorizo,5,51,16,faire,6,Plat principal
Gratin de pâtes au cervelas,5,44,23,mélanger,8,Plat principal
Hachis parmentier et sa fondue de poireaux,7,82,23,faire,8,Plat principal
Endives au thon à la niçoise,6,87,37,minute,13,Plat principal
Poivrons rouges grillés,3,44,14,poivron,6,Entrée
Tarte aubergine - feta,4,64,28,aubergine,17,Entrée
Tarte aux pommes succulente,4,31,26,pomme,7,Dessert
Poêlée de pois chiche et de poulet,7,71,23,mettre,10,Plat principal
Rôti de porc de ma maman,6,130,23,rôti,6,Plat principal
Tantifoulouse (tourte de légumes),4,109,37,ajouter,14,Plat principal
Framboises/mascarpone façon crumble,3,78,28,beurre,8,Dessert
Gâteau à la farine de chataigne (Corse),7,26,22,moule,6,Dessert
Faisan rôti aux cèpes et son riz aux poivrons et aux pignons,12,77,37,minute,14,Plat principal
Gratin de courgettes et riz au boeuf,7,63,34,faire,10,Plat principal
Oeufs brouillés colombo,3,24,7,lardon,4,Plat principal
"La ""vraie"" recette de spaghetti à la romaine",8,61,36,bol,11,Plat principal
Nouilles au four,3,31,13,huiler,5,Plat principal
Tarte aux pommes de terre et aux 4 fromages,9,53,35,tarte,11,Plat principal
Rôti de porc aux navets,5,45,24,rôti,8,Plat principal
Pavé de potiron au chocolat,5,79,33,four,11,Dessert
Terrine de saumon et ricotta,5,59,24,saumon,8,Entrée
Gâteau opérette (variante du gâteau opéra),6,136,27,gramme,9,Dessert
GLOUBI  GLOUBA,2,57,16,biscuit,8,Dessert
Rissoles (ou chaussons) thon au curry,6,87,29,ajouter,11,Entrée
Minestrone de bruno,3,59,42,ajouter,14,Entrée
Mémoranda,1,40,15,chocolat,6,Dessert
Crevettes curry et coco (Thaïlande),5,41,42,crevette,10,Plat principal
"Tarte au chou-fleur, chèvre et lardons",6,48,25,ajouter,11,Plat principal
Fondue de poireaux facile,4,29,16,poireau,6,Plat principal
"Gratin de pommes de terre, panais et carottes",8,58,18,moitié,8,Plat principal
Cookies aux pépites de chocolat et pistaches,7,53,41,petit,12,Dessert
Filet mignon aux chanterelles et suprêmes d'orange,7,91,33,ajouter,13,Plat principal
Feuillantines de thon à la faisselle,6,71,37,brick,10,Entrée
Rillettes de thon super simple,5,57,23,ajouter,7,Entrée
Emincé de choux blanc et crevettes à ma façon,9,53,18,chou,5,Plat principal
Flan très mousseux,3,42,15,ajouter,6,Dessert
Taboulé aux huiles parfumées,4,60,42,faire,12,Entrée
Lasagne aux aubergines et reste de raclette,7,67,32,minute,11,Plat principal
Potage de l'ambassadeur,3,32,19,min,7,Plat principal
Le gâteau de Minon (Alsace),5,58,22,mélanger,6,Dessert
Crumble pomme poire aux spéculoos et au rhum,8,93,32,fruit,10,Dessert
Escalope de dinde à la sauce tomate et thym,9,31,26,escalope,9,Plat principal
Sandwichs anglais,2,164,107,triangle,23,Plat principal
Coupe tiramisu et mousse au chocolat,6,89,34,chocolat,10,Dessert
Lieu jaune en papillote à la vanille,7,81,23,beurre,7,Plat principal
Steak au sirop d'érable,4,35,13,poêle,6,Plat principal
Penne aux 3 fromages,4,60,29,pâte,8,Plat principal
Gratin de poulet aux pommes de terre et aux poireaux au bleu,12,65,29,ajouter,9,Plat principal
"Tarte moutardée au thon, tomates et poireaux",7,82,29,thon,10,Entrée
Bananes au chocolat faciles au four à micro-ondes,8,33,16,banane,5,Dessert
Flan léger,2,20,19,mélanger,8,Dessert
Pain de thon,3,63,15,pain,7,Entrée
Epaule d'agneau aux épices et fenouil,6,136,22,huile,8,Plat principal
Magret de canard et mangue,5,53,12,lamelle,6,Plat principal
Salade de petits pois à la saucisse,7,56,31,pomme,7,Entrée
Oeufs Georgette,2,56,20,verser,6,Entrée
Poulet moelleux sauce au citron,5,66,37,jusque,12,Plat principal
Tagliatelles aux scampis et au gingembre,6,41,18,ajouter,7,Plat principal
Encornets au curry,3,35,24,encornet,8,Entrée
Gâteau d'Halloween à la citrouille,5,97,34,citrouille,10,Dessert
"Velouté au Potiron, poivron et lardons",6,76,25,potiron,11,Plat principal
Brioche aux abricots et au chocolat,6,54,44,degré,13,Dessert
Filet de lieu aux champignons sauce vin blanc,8,84,38,four,11,Plat principal
Galette de potimarron,3,36,10,potimarron,6,Entrée
Charlotte aux pralines,3,52,16,cuillère,7,Dessert
Gratin brocolis blettes et pommes de terre,7,65,23,180,8,Plat principal
Pancakes américains,2,73,37,farine,10,Dessert
Macaronade du sud,3,68,37,faire,13,Plat principal
Langue de boeuf préparée à la créole,7,88,41,eau,14,Plat principal
Tarte au chorizo frit et poireaux,6,73,19,chorizo,7,Plat principal
Gâteau de pâtisserie appelé Figue,5,104,37,pâte,15,Dessert
Pudding de boulgour aux fraises,5,95,43,lait,11,Dessert
Crumble du verger aux spéculoos,5,67,24,fruit,9,Dessert
Sauté de veau gratiné aux oignons,6,45,38,viande,10,Plat principal
"Gratin d'aubergine, tomate, coppa, mozzarella",5,110,31,tomate,11,Plat principal
Charlotte au concombre,3,99,37,moule,12,Entrée
Flan ananas noix de coco,5,194,36,moule,10,Dessert
La caponata de Mamie Jeanne,5,172,53,mettre,15,Entrée
Roulé aux blettes et au Comté,6,62,21,pâte,7,Entrée
Sauce crudités à la crème de soja,7,11,14,mélanger,7,Entrée
Croustillants de poires caramelisées aux noisettes,6,50,20,sucre,7,Dessert
Gâteau fruit à pain,4,66,27,fruit,9,Dessert
Brioche maison,2,112,27,levure,8,Dessert
Tiramisu aux Fraises,3,55,22,fraise,7,Dessert
"Gaufres végétariennes (sans lait, ni crème, ni beurre)",8,19,46,mélanger,11,Dessert
Tarte kiwi-banane et coulis de framboise,6,96,33,tarte,9,Dessert
Blanquette de volaille aux champignons,5,39,31,ajouter,9,Plat principal
Quenelles en sauce blanche,4,124,49,ajouter,14,Plat principal
Galette des rois pommes/framboises,4,83,24,pomme,8,Dessert
Gâteau au chocolat sans lactose,5,33,33,four,9,Dessert
Bûche de Noël à la mousse de fruits,8,90,41,fruit,15,Dessert
Jambalaya aux saucisses fumées,4,67,57,ajouter,20,Plat principal
Duo frais de saumon,4,40,28,pomme,10,Entrée
Petits pavés au chocolat et aux amandes ou noix de coco,11,28,24,faire,7,Dessert
Papillote de saumon et sa compotée de petits légumes,9,46,27,légume,11,Plat principal
Filet de porc sauce griottes aux pommes confites,8,78,45,viande,12,Plat principal
Purée gratinée au jambon,4,76,26,beurre,9,Plat principal
Saumon à la sauce soja et purée de patate douce,10,57,33,sauce,15,Plat principal
Salade de pommes de terre goûteuse,6,82,42,peler,11,Entrée
Clafoutis ultra facile aux abricots,5,43,24,sucre,8,Dessert
Côte de porc aux pommes,5,51,9,tranche,4,Plat principal
Oeufs mimosa,2,65,33,oeuf,11,Entrée
Tourte aux blettes légère et gourmande,6,129,40,pâte,9,Entrée
Tarte aux quenelles sauce aurore,5,75,23,mettre,11,Entrée
Quiche à la tomate et aux oignons,7,56,34,fin,11,Plat principal
Salade de lentilles à la tomate séchée et au lard,10,86,62,faire,14,Plat principal
Galettes de pain perdu au fromage,6,50,22,pain,8,Entrée
Gratin de courgettes à la semoule,6,97,35,sauteuse,11,Plat principal
Gâteau d'automne aux pommes,4,85,56,bien,13,Dessert
Cubes de dinde aux raisins secs,6,55,18,dorer,6,Plat principal
Cookies aux amandes,3,95,33,f,13,Dessert
Gratin de pomme de terre et foie gras,8,92,24,pomme,8,Plat principal
Chèvre chaud aux pommes et lard,6,74,29,tranche,11,Entrée
Crumble exotique aux litchis,4,103,57,fruit,16,Dessert
Quiche au bacon et au chèvre chaud,7,30,21,quiche,7,Plat principal
Tagliatelli sauté façon Bami Goreng chinois,6,52,50,faire,13,Plat principal
Tartines poireau-cabillaud,2,94,23,citron,9,Plat principal
Bar aux langoustines tuilé de pommes de terre,8,100,26,minute,10,Entrée
Lasagnes au saumon,3,77,35,couche,9,Plat principal
Tarte aux peches et noix de coco,7,51,14,cuillère,6,Dessert
Confit de Canard (conserve),4,72,11,sel,5,Plat principal
Gateau semoule coco raisins,4,98,28,lait,8,Dessert
Gâteau de carottes à la suédoise (morotskaka),7,64,45,mélanger,14,Dessert
Vacherin à la framboise,4,53,26,préparation,9,Dessert
Rôti de veau au four,5,75,18,rôti,6,Plat principal
Tarte pomme-banane à la cannelle,5,47,32,pâte,10,Dessert
Cake à la rhubarbe et au chèvre,7,43,24,four,9,Entrée
Rougets et courgettes en papillote,5,103,22,citron,7,Plat principal
Gâteau chocolat meringué au café,5,135,36,beurre,11,Dessert
Duo de pêches mozzarella,4,27,12,tranche,6,Entrée
Tarte courgette saumon chèvre,4,79,42,etaler,13,Entrée
Petits clafoutis aux cerises,4,48,16,petit,7,Dessert
Bonbons de fruits au blanc glacé,6,55,23,fruit,8,Dessert
Pommes de terre gratinées au chèvre et aux herbes,9,66,28,pomme,7,Plat principal
Cassate au chocolat,3,82,30,faites,9,Dessert
Sandwich de l'été à l'Avocat  et au Thon,8,47,13,mélange,5,Plat principal
Potage des quatre saisons,4,59,24,ajouter,8,Entrée
Gâteau de semoule « foisseux »,6,54,21,mélange,7,Dessert
Pêches (ou fraises) au vin,5,17,19,temps,6,Dessert
Saumon sur lit d'oignons,4,62,19,oignon,6,Plat principal
Croque-monsieur au cheddar,3,38,13,tranche,6,Plat principal
Cari poulet aux pommes de terres,6,74,36,poulet,12,Plat principal
Bricks au thon et à l'oeuf faciles,7,54,20,oeuf,6,Entrée
Flan à la farine de chataignes,6,37,14,lait,6,Dessert
Poisson cru au citron,4,65,33,poisson,9,Entrée
Ramequins crémeux aux pommes fondantes,5,64,26,pomme,9,Dessert
Tarte crémeuse saumon brocolis poireaux,5,72,25,four,8,Plat principal
Fausse tarte moelleuse aux agrumes (léger),6,87,35,agrume,11,Dessert
"Carbonnades, sauce tomate et carotte",5,33,20,viande,7,Plat principal
Oeufs Mimosa au saumon : C'est bon !,8,132,39,oeuf,11,Entrée
Sauté de crevettes aux champignons,5,65,25,champignon,8,Plat principal
Tarte sablée tiède aux pommes et à la vanille,9,54,14,pâte,5,Dessert
Velouté de mâche,3,39,20,faire,6,Entrée
Ma moussaka rapide,3,93,41,mettre,11,Plat principal
Soupe de courge aux haricots blancs,6,96,47,eau,15,Entrée
Pamplemousse rose gratiné au four.,5,39,6,four,4,Dessert
Bolognaise à l'arménienne,3,96,40,faire,15,Plat principal
Risotto épicé carottes et poisson,5,97,45,cuit,11,Plat principal
Strüdel aux pommes et aux noix,6,40,45,crème,14,Dessert
Fausse mousse de foie gras,5,29,24,porto,7,Entrée
Risotto aux crevettes et poivrons,5,62,39,crevette,14,Plat principal
Cake banane choco,3,35,26,récipient,9,Dessert
Purée jaune de Thibaut (bébé),5,24,15,faire,4,Plat principal
"Soupe catalane à la frigoulette (thym), spéciale angine",8,99,21,ail,8,Entrée
Tagliatelles à la lotte,4,73,56,lotte,12,Plat principal
Pot au feu oriental au couscous,6,132,82,feu,20,Plat principal
Coquilles st jacques au curry,5,49,41,minute,11,Entrée
Croquettes de macaronis,3,56,36,faire,13,Plat principal
Rôti de biche au four,5,99,11,rôti,4,Plat principal
Salade de pâtes à l'italienne jambon et pignons,8,44,27,pâte,10,Entrée
Soupe d'automne orangée,3,35,15,eau,7,Entrée
Sardines au brocciu,3,54,34,tomate,9,Plat principal
Tarte aux légumes d'été grillés et aux lardons,8,116,43,légume,17,Entrée
Carbonades flamandes à la moutarde,5,54,36,viande,12,Plat principal
Pastilla à la volaille,4,52,28,four,8,Plat principal
Tiramisu allégé,2,28,21,biscuit,5,Dessert
Pain de semoule aux raisins secs,6,65,24,laisser,8,Dessert
Papillote de saumon aux épices douces,6,42,39,couper,12,Plat principal
Courgettes farcies,2,99,27,courgette,8,Plat principal
Tourte aux pommes de terre façon tartiflette de ma maman,10,78,35,faire,9,Plat principal
Crêpes légères au lait entier,5,75,27,ajouter,8,Dessert
Blanquette de saumon aux moules,5,82,40,ajouter,13,Plat principal
Avocat à la truite fumée,5,46,11,avocat,5,Entrée
Baguettes flambées alsaciennes,3,37,24,couper,8,Plat principal
"Chausson au thon, piment et champignons",6,113,36,ajouter,12,Entrée
Gratin de chou-fleur et de thon,6,34,18,chou-fleur,8,Plat principal
Salade sucrée-salée au chèvre,4,30,48,mélanger,13,Entrée
Hachis parmentier aux foies de volaille et gésiers confits,9,69,33,foie,8,Plat principal
Poulet grillé sauce soja (barbecue),5,38,20,poulet,6,Plat principal
Mijoté asiatique,2,51,21,minute,8,Plat principal
Pousses d'épinards aux oeufs et à la tomate,8,21,26,tomate,8,Entrée
Pommes de terre Nouchette,4,40,17,four,7,Plat principal
Pizza Tonno (au thon),4,41,23,four,10,Plat principal
Petites cailles en papillote,4,25,12,caille,6,Plat principal
"Tarte corned beef, tomates, persil",5,66,44,degré,13,Plat principal
Feuilles de blettes farcies à la viande et au riz,10,62,42,blette,11,Entrée
Pain d'épices de Dijon,4,32,35,lait,11,Dessert
Tarte au poireaux à la béchamel,6,59,33,ajouter,10,Entrée
Mousses haricots et lentilles en duo,6,64,26,purée,8,Plat principal
Tiramisu aux spéculoos à ma façon,6,44,17,battre,6,Dessert
Cannelloni pimentés brocoli mozzarella,4,99,53,ajouter,13,Plat principal
Pâtes aux artichauts poivrade,4,93,24,artichaut,10,Plat principal
"Cassoulet  facile, pour mes amis",5,161,70,cuisson,17,Plat principal
Soufflé aux 4 épices en coque de tomate,8,54,19,tomate,7,Entrée
Gratin de noix de saint jacques aux poireaux,8,77,27,faire,9,Plat principal
Financiers au nutella  (24ème rencontre),5,35,28,financier,9,Dessert
Gâteau de riz au chocolat,5,32,20,riz,7,Dessert
Oyakodon,1,105,35,riz,10,Plat principal
Risotto de volaille,3,32,40,ajouter,10,Plat principal
Yakitoris (dinde),2,41,16,rouler,8,Plat principal
Crudités en feuilles de chou rouge,6,42,24,couper,8,Entrée
Pavé de colin à la Vodka,6,57,22,échalote,8,Plat principal
Aiguillettes de poulet aux légumes,5,110,25,ajouter,9,Plat principal
Quiche jambon mouliné et moutarde à l'ancienne,7,60,29,jambon,8,Plat principal
Poulet aux amandes et aux olives,6,61,43,cocotte,15,Plat principal
Aile de Raie sauce moutarde,5,112,33,2,11,Plat principal
QUICHE AUX COURGETTES ET AUX OIGNONS,6,112,38,minute,11,Plat principal
Banana Bread sans beurre et sans oeufs,7,57,15,pâte,6,Dessert
Spritz parfumés à la mirabelle,5,67,27,beurre,8,Dessert
Soupe au pain,3,63,17,mélanger,6,Plat principal
"Côte de boeuf, sauce onctueuse aux herbes",7,86,23,minute,9,Plat principal
"Boeuf Marengo façon ""ma maman""",5,67,32,oignon,11,Plat principal
Gaufres sans oeufs,3,18,18,faire,6,Dessert
Tripes à la mode de Caen,6,88,33,eau,14,Plat principal
Brochettes de Saint Jacques au lard,6,41,21,brochette,6,Plat principal
Dhal (Inde),2,41,17,ajouter,6,Plat principal
Brioches surprises au jambon,4,50,18,couper,7,Entrée
Galettes d'épinards,2,61,24,laisser,9,Entrée
Stifado du Lundi Pur (Grèce),5,141,102,saucisse,20,Plat principal
Morue frite à la tomate,5,59,22,morue,8,Plat principal
Brioche au goût de coco (machine à pain),8,36,39,map,10,Dessert
Lasagnes boeuf et petits légumes d'été,6,103,63,ajouter,21,Plat principal
Riz à la tomate et au mouton,7,59,28,beurre,8,Plat principal
Escalopes de veau citronnées,4,31,19,escalope,7,Plat principal
Salade de trois nouilles aux fruits de l'été,8,52,42,pâte,12,Plat principal
Gâteau chocolat amande framboise,4,79,35,four,10,Dessert
Poulet à la mangue rapide,5,60,18,couper,9,Plat principal
Salade de farfalles au saumon,5,24,27,pâte,8,Entrée
Les muffins au chocolat façon grigrou,6,44,30,récipient,10,Dessert
Soupe aux crevettes et aux nouilles chinoises,7,57,27,crevette,8,Entrée
Emincé de porc au caramel facile,6,42,20,viande,6,Plat principal
Rouleaux de printemps frais et parfumés,6,72,43,pâte,11,Plat principal
Tarte pomme et frangipane,4,73,20,minute,6,Dessert
Quiche au parmesan et tomates,5,52,37,tomate,10,Entrée
Tarte aux fraises et aux kiwis,6,58,29,fruit,8,Dessert
Gâteau au vrai goût de carambars,6,24,16,mettre,7,Dessert
Ananas farci au saumon,4,39,19,ananas,9,Entrée
Poulet aux figues provencales,4,80,38,rajouter,13,Plat principal
Omelette espagnole,2,113,63,légume,26,Plat principal
Crêpes maison à la farine de châtaigne,7,66,20,ajouter,7,Plat principal
Mozzarella aux fraises sauce au miel,6,71,38,tranche,10,Entrée
Filets de caille aux cerises,5,60,26,feu,8,Plat principal
Poulet aux olives,3,82,45,poulet,12,Plat principal
"Amour de fruits rouges, croustillant chocolat blanc et coeur banane",10,223,90,coulis,26,Dessert
Gouaron,1,60,25,degré,10,Dessert
Demi-cailles au barbecue,3,54,15,minute,5,Plat principal
Velouté de Courgette très light,5,67,13,mettre,5,Entrée
Rôti de veau au miel,5,37,29,ajouter,10,Plat principal
"Salade de mâche fraîcheur (avocat, bacon, parmesan)",7,48,23,cuillère,11,Plat principal
"Saumon laqué, coriandre et sésame",5,86,44,vert,10,Plat principal
Bread and Butter pudding au Nutella,6,58,39,pain,11,Dessert
Pâté de saumon au paprika,5,77,29,mettre,9,Entrée
Pain de ratatouille,3,44,19,cuir,8,Plat principal
Tomates farcies Delphine,3,44,24,tomate,9,Plat principal
Rôti de porc aux figues et jambon cru,8,78,23,oignon,7,Plat principal
Lapin à la moutarde en papillotes,6,72,24,carré,9,Plat principal
Tarte au chocolat facile,4,50,22,mettre,7,Dessert
Oeufs farcis au jambon de Bayonne,6,43,18,oeuf,6,Entrée
Crêpes fourrées aux fruits secs,5,74,35,petit,12,Dessert
Cailles farcies aux poires et foie gras,7,75,20,morceau,8,Plat principal
